onset	duration	label	type	connector	trial	session	missing_timing_data	classification	comments
36141.8293	6.20999999999913	ecog_101	ecog	1	1	1	0	clean	1
36147.2793	5.56999999999971	ecog_101	ecog	1	2	1	0	artifactual	2
36154.0793	5.54000000000815	ecog_101	ecog	1	3	1	0	questionable	3
0	0	ecog_101		0	4	1	0		
0	0	ecog_101		0	5	1	0		
0	0	ecog_101		0	6	1	0		
0	0	ecog_101		0	7	1	0		
0	0	ecog_101		0	8	1	0		
0	0	ecog_101		0	9	1	0		
0	0	ecog_101		0	10	1	0		
0	0	ecog_101		0	11	1	0		
0	0	ecog_101		0	12	1	0		
0	0	ecog_101		0	13	1	0		
0	0	ecog_101		0	14	1	0		
0	0	ecog_101		0	15	1	0		
0	0	ecog_101		0	16	1	0		
0	0	ecog_101		0	17	1	0		
0	0	ecog_101		0	18	1	0		
0	0	ecog_101		0	19	1	0		
0	0	ecog_101		0	20	1	0		
0	0	ecog_101		0	21	1	0		
0	0	ecog_101		0	22	1	0		
0	0	ecog_101		0	23	1	0		
0	0	ecog_101		0	24	1	0		
0	0	ecog_101		0	25	1	0		
0	0	ecog_101		0	26	1	0		
0	0	ecog_101		0	27	1	0		
0	0	ecog_101		0	28	1	0		
0	0	ecog_101		0	29	1	0		
0	0	ecog_101		0	30	1	0		
0	0	ecog_101		0	31	1	0		
0	0	ecog_101		0	32	1	0		
0	0	ecog_101		0	33	1	0		
0	0	ecog_101		0	34	1	0		
0	0	ecog_101		0	35	1	0		
0	0	ecog_101		0	36	1	0		
0	0	ecog_101		0	37	1	0		
0	0	ecog_101		0	38	1	0		
0	0	ecog_101		0	39	1	0		
0	0	ecog_101		0	40	1	0		
0	0	ecog_101		0	41	1	0		
0	0	ecog_101		0	42	1	0		
0	0	ecog_101		0	43	1	0		
0	0	ecog_101		0	44	1	0		
0	0	ecog_101		0	45	1	0		
0	0	ecog_101		0	46	1	0		
0	0	ecog_101		0	47	1	0		
0	0	ecog_101		0	48	1	0		
0	0	ecog_101		0	49	1	0		
0	0	ecog_101		0	50	1	0		
0	0	ecog_101		0	51	1	0		
0	0	ecog_101		0	52	1	0		
0	0	ecog_101		0	53	1	0		
0	0	ecog_101		0	54	1	0		
0	0	ecog_101		0	55	1	0		
0	0	ecog_101		0	56	1	0		
0	0	ecog_101		0	57	1	0		
0	0	ecog_101		0	58	1	0		
0	0	ecog_101		0	59	1	0		
0	0	ecog_101		0	60	1	0		
0	0	ecog_101		0	61	1	0		
0	0	ecog_101		0	62	1	0		
0	0	ecog_101		0	63	1	0		
0	0	ecog_101		0	64	1	0		
0	0	ecog_101		0	65	1	0		
0	0	ecog_101		0	66	1	0		
0	0	ecog_101		0	67	1	0		
0	0	ecog_101		0	68	1	0		
0	0	ecog_101		0	69	1	0		
0	0	ecog_101		0	70	1	0		
0	0	ecog_101		0	71	1	0		
0	0	ecog_101		0	72	1	0		
0	0	ecog_101		0	73	1	0		
0	0	ecog_101		0	74	1	0		
0	0	ecog_101		0	75	1	0		
0	0	ecog_101		0	76	1	0		
0	0	ecog_101		0	77	1	0		
0	0	ecog_101		0	78	1	0		
0	0	ecog_101		0	79	1	0		
0	0	ecog_101		0	80	1	0		
0	0	ecog_101		0	1	2	0		
0	0	ecog_101		0	2	2	0		
0	0	ecog_101		0	3	2	0		
0	0	ecog_101		0	4	2	0		
0	0	ecog_101		0	5	2	0		
0	0	ecog_101		0	6	2	0		
0	0	ecog_101		0	7	2	0		
0	0	ecog_101		0	8	2	0		
0	0	ecog_101		0	9	2	0		
0	0	ecog_101		0	10	2	0		
0	0	ecog_101		0	11	2	0		
0	0	ecog_101		0	12	2	0		
0	0	ecog_101		0	13	2	0		
0	0	ecog_101		0	14	2	0		
0	0	ecog_101		0	15	2	0		
0	0	ecog_101		0	16	2	0		
0	0	ecog_101		0	17	2	0		
0	0	ecog_101		0	18	2	0		
0	0	ecog_101		0	19	2	0		
0	0	ecog_101		0	20	2	0		
0	0	ecog_101		0	21	2	0		
0	0	ecog_101		0	22	2	0		
0	0	ecog_101		0	23	2	0		
0	0	ecog_101		0	24	2	0		
0	0	ecog_101		0	25	2	0		
0	0	ecog_101		0	26	2	0		
0	0	ecog_101		0	27	2	0		
0	0	ecog_101		0	28	2	0		
0	0	ecog_101		0	29	2	0		
0	0	ecog_101		0	30	2	0		
0	0	ecog_101		0	31	2	0		
0	0	ecog_101		0	32	2	0		
0	0	ecog_101		0	33	2	0		
0	0	ecog_101		0	34	2	0		
0	0	ecog_101		0	35	2	0		
0	0	ecog_101		0	36	2	0		
0	0	ecog_101		0	37	2	0		
0	0	ecog_101		0	38	2	0		
0	0	ecog_101		0	39	2	0		
0	0	ecog_101		0	40	2	0		
0	0	ecog_101		0	41	2	0		
0	0	ecog_101		0	42	2	0		
0	0	ecog_101		0	43	2	0		
0	0	ecog_101		0	44	2	0		
0	0	ecog_101		0	45	2	0		
0	0	ecog_101		0	46	2	0		
0	0	ecog_101		0	47	2	0		
0	0	ecog_101		0	48	2	0		
0	0	ecog_101		0	49	2	0		
0	0	ecog_101		0	50	2	0		
0	0	ecog_101		0	51	2	0		
0	0	ecog_101		0	52	2	0		
0	0	ecog_101		0	53	2	0		
0	0	ecog_101		0	54	2	0		
0	0	ecog_101		0	55	2	0		
0	0	ecog_101		0	56	2	0		
0	0	ecog_101		0	57	2	0		
0	0	ecog_101		0	58	2	0		
0	0	ecog_101		0	59	2	0		
0	0	ecog_101		0	60	2	0		
0	0	ecog_101		0	61	2	0		
0	0	ecog_101		0	62	2	0		
0	0	ecog_101		0	63	2	0		
0	0	ecog_101		0	64	2	0		
0	0	ecog_101		0	65	2	0		
0	0	ecog_101		0	66	2	0		
0	0	ecog_101		0	67	2	0		
0	0	ecog_101		0	68	2	0		
0	0	ecog_101		0	69	2	0		
0	0	ecog_101		0	70	2	0		
0	0	ecog_101		0	71	2	0		
0	0	ecog_101		0	72	2	0		
